name,affiliation,citations,hindex,i10index,quality,n_ratings,easiness,department,college
"Scott, Ridgway","Louis Block Professor, University of Chicago",19132,52,115, ,0, ,Computer Science,UChicago
"Anand, Lallit","Rohsenow Professor of Mechanical Engineering, MIT",15135,60,129,4.0,1,3.0,Engineering,MIT
"Haller, Gary","Department of Chemical Engineering, Yale University",11778,61,193,1.0,1,5.0,Chemical Engineering,Yale
"Mellet, ","Professor of Organic Chemistry, University of Seville",7921,49,178,1.9,5,1.6,Mathematics,UTexas
"Jamal, Amaney",Princeton University,3823,31,49,3.7,3,2.7,Political Science,Princeton
"Nelson, Charles",Harvard,43313,112,395,2.2,2,5.0,German,Tufts
"Thomas, Sam","school of management studies, cochin university of science and technology",519,11,11,4.6,7,3.3,Chemistry,Tufts
"Grauman, Kristen","Professor of Computer Science, University of Texas at Austin",20778,72,143,5.0,2,4.0,Computer Science,UTexas
"Borcea, Liliana",University of Michigan,3544,27,44,3.0,2,2.5,Mathematics,Rice
"Ahern, Jennifer","University of California, Berkeley",11950,52,96,4.0,12,2.8,Writing,Duke
"Sumerlin, Brent","Professor of Chemistry, University of Florida",16810,66,144,5.0,1,3.0,Chemistry,CMU
"Alves, Nuno",ISCTE-IUL,616,11,16,3.0,2,2.0,Engineering,Tufts
"Cohen, Charles",Cybernet Systems,4628,18,26,2.2,14,3.3,Art History,UChicago
"Brown, James","Professor Emeritus of Biology, University of New Mexico",127236,150,692,5.0,1,1.0,Economics,Rice
"Krueger, Thomas",Texas A&M University - Kingsville,1174,12,14,3.5,3,4.3,Engineering,UTexas
"Bernhard, Stefan","Professor of Chemistry, Carnegie Mellon",11459,52,94,2.5,2,3.0,Chemistry,CMU
"Ravi, R",Carnegie Mellon Unviersity,9290,52,144,4.5,2,2.5,Business,CMU
"Lane, Kristin",Bard College,6057,13,13,5.0,1,4.0,Psychology,Tufts
"Woodbury, Anthony","Professor of Linguistics, University of Texas at Austin",2455,25,46,3.0,4,3.8,Linguistics,UTexas
"Pedahzur, Ami",Department of Government University of Texas at Austin,3749,32,57,4.2,4,3.8,Political Science,UTexas
"Joshi, Badal","California State University, San Marcos",331,9,8,3.8,11,2.6,Mathematics,Duke
"Schwartz, David","Professor of Medicine and Immunology, University of Colorado",37579,97,316,3.8,4,2.8,Psychology,Duke
"El Gamal, Abbas","Electrical Engineering, Stanford University",33019,86,226,3.4,7,2.3,Engineering,Stanford
"Johnson, Jennifer",Michigan State University,3325,31,67,4.8,3,3.0,Mathematics,Princeton
"Cooke, Sandra",University of Birmingham,645,12,13,2.8,6,3.5,Writing,Duke
"Grzankowski, Alex","Birkbeck, University of London",149,6,4,4.8,2,3.5,Philosophy,UTexas
"Dubra, ","Associate Professor of Ophthalmology, Stanford University",5362,44,92,4.0,1,2.0,Economics,CMU
"Oden, Tinsley",Unknown affiliation,58735,91,358, ,0, ,Engineering,UTexas
"Fernandez-Kelly, Patricia",Princeton University,6693,25,36,3.2,5,3.2,Sociology,Princeton
"Miller, Eric",Tufts University,7309,46,103,4.5,2,1.0,Engineering,Tufts
"Murray, Paula",University of Guelph,373,7,5,5.0,1,3.0,Law,UTexas
"Bolkan, San","Professor, Long Beach State University",1771,24,46,4.4,8,3.8,Communication,UTexas
"Noonan, Kevin",Carnegie Mellon University,1083,16,18,4.8,2,3.0,Chemistry,CMU
"Ramaswamy, Venkatachalam",noaa/gfdl,64298,70,159, ,0, ,Not Specified,Princeton
"Bukh, Boris",Carnegie Mellon University,763,17,23,1.0,1,4.0,Mathematics,CMU
"Whittle, Andrew",MIT,5424,39,91,2.8,2,3.0,Engineering,MIT
"Bair, Jennifer","Associate Professor Sociology, University of Virginia",6090,27,41,3.4,6,2.8,Sociology,Yale
"Oliver, Peter",University of Oxford,9633,34,59,5.0,1,5.0,Physical Education,UTexas
"Churchill, Steven","Professor of Evolutionary Anthropology, Duke University",7683,51,82,4.3,20,3.3,Biology,Duke
"Baker, Samuel",The University of Pennsylvania,493,7,4, ,0, ,English,UTexas
"Kravitz, David",George Mason University,4366,28,39,4.5,9,3.4,Mathematics,CMU
"Rosenbluth, Frances","Damon Wells Professor of Political Science, Yale University",5224,33,54,4.5,3,3.0,Political Science,Yale
"Guchhait, Samaresh","University of Maryland, College Park",475,11,11,1.5,1,4.0,Physics,UTexas
"Grill, Warren",Duke University Biomedical Engineering,17791,70,220,3.6,14,1.9,Engineering,Duke
"Kalyvas, Stathis","Gladstone Professor of Political Science, University of Oxford",13685,42,67, ,0, ,Political Science,Yale
"Jackson, John","M. Kent Jennings Collegiate Professor of Political Science, University of Michigan",8910,36,78,4.6,8,4.4,Anthropology,Duke
"Shah, Purnima","School of Engineering and Applied Science, Ahmedabad University",27,3,1,4.0,2,4.0,Religion,Duke
"Dimaggio, Paul","A. Barton Hepburn Professor of Sociology & Public Affairs, Princeton University",139128,75,159, ,0, ,Sociology,Princeton
"Timmins, Christopher","Professor of Economics, Duke University",4440,30,54,2.9,21,3.0,Economics,Duke
"Yildiz, Bilge","Professor, Massachusetts Institute of Technology",6779,44,99, ,0, ,Engineering,MIT
"O'Donnell, Ryan","Professor, Computer Science Department, Carnegie Mellon",5172,40,69,4.5,5,2.2,Computer Science,CMU
"Hudson, Scott","Professor of Human-Computer Interaction, Carnegie Mellon University",14546,67,189,1.0,1,5.0,Computer Science,CMU
"Dukerich, Janet","Univ of Texas at Austin, McCombs School of Business",16983,27,33,5.0,1,4.0,Business,UTexas
"Brandon, Deborah","Prof. of Mathematics, Carnegie Mellon University",241,9,9,3.7,20,2.7,Mathematics,CMU
"Asher, Steven","Professor of Psychology and Neuroscience, Duke University",28175,67,97,4.1,9,3.1,Psychology,Duke
"Balasko, Yves","Professor of economics, University of York, UK.",3103,25,49,1.5,1,2.0,Business,CMU
"Price, Gareth",Professor of Chemistry,6765,41,109,4.4,7,3.4,Languages,Duke
"Uyenoyama, Marcy",Duke University,3427,34,46,3.5,2,2.5,Biology,Duke
"Sadowski, Philipp","Economics Dept., Duke University",276,8,6, ,0, ,Economics,Duke
"Johnson, David","Visiting Professor, Columbia University Computer Science Department",231876,136,637,1.2,10,3.3,Communication,Harvard
"Crawley, Edward","Professor of Aeronautics and Astronautics, MIT",15295,48,166,2.4,6,2.8,Engineering,MIT
"Cummings, James","Assistant Professor, Emerging Media; Co-Director, Communication Research Center; Boston University",1095,12,13,3.4,6,2.2,Mathematics,CMU
"Slonim, Donna","Associate Professor of Computer Science, Tufts University; Genetics Faculty, Sackler School of Graduate Biomedical Sciences, Tuf",26372,34,57,4.0,4,2.5,Computer Science,Tufts
"Robertson, Phyllis",Zugehörigkeit unbekannt,389,7,5,4.7,3,3.0,Education,UTexas
"Keeling, Kenneth",所属不明,54,3,3,5.0,1,1.0,Music,CMU
"Chang, Fu Kuo",Chang Gung Memorial Hospital,4262,35,67,4.2,7,3.1,Engineering,Stanford
"Arnsten, Amy",Professor of Neuroscience,30356,83,159,4.5,2,3.5,Biology,Yale
"Helgeson, Vicki",Carnegie Mellon University,24965,71,134,3.6,5,2.8,Psychology,CMU
"Hackney, David","Professor of Radiology, Harvard Medical School",7991,54,111,3.0,2,5.0,Biology,CMU
"Prasnikar, Vesna","Research scientist, Comlabgames, Pittsburgh, USA",2257,8,6,4.5,1,2.0,Business,CMU
"Schneider, Susan",professor emeritus HEC/GSEM University of Geneva,6357,26,33,4.5,1,2.0,Nursing,Duke
"Leventoglu, Bahar",Associate professor of political science and economics,631,8,7,3.3,6,3.2,Political Science,Duke
"Rollett, Anthony","Professor of Materials Science and Engineering, Carnegie Mellon University",22749,63,218, ,0, ,Engineering,CMU
"Patten, Alan",Princeton University,2615,21,25, ,0, ,Political Science,Princeton
"Chapman, Stephen",Macaulay Hutton,5677,43,96,4.9,4,3.5,Religion,Duke
"Metzger, Sean",Unknown affiliation,221,7,7,4.0,12,3.0,English,Duke
"Sounny-Slitine, Anwar","Geography, University of Florida",65,4,2,5.0,1,3.0,Geography,UTexas
"Sooriamurthi, Raja",Carnegie Mellon University,456,11,12,4.0,1,5.0,Information Science,CMU
"Smith, Lindsey","University of North Carolina, Chapel Hill",1486,18,30,4.2,4,2.8,Writing,Duke
"May, Robert","Professor of Zoology, University of Oxford",156630,175,551,3.5,3,2.0,Accounting,UTexas
"Orlin, James","Professor, Massachusetts Institute of Technology",30273,66,149,4.5,2,3.5,Business,MIT
"Arima, Eugenio","Department of Geography and the Environment, University of Texas at Austin",3497,28,49,2.5,6,2.7,Geography,UTexas
"Munch, Elizabeth","Assistant Professor, Michigan State University",463,12,13, ,0, ,Mathematics,Duke
"Aslam, Ali","Bangladesh Agricultural University, Mymensingh, Bangladesh",775,14,16,2.5,2,2.0,Writing,Princeton
"Behrmann, Marlene","Professor, Cognitive Neuroscience, Carnegie Mellon University",22209,80,221,4.9,4,2.2,Psychology,CMU
"Dur, Umut",North Carolina State University,364,10,10, ,0, ,Economics,UTexas
"Hebl, Mikki",Rice University,12162,52,108,4.4,19,3.3,Psychology,Rice
"Subramanian, Shoba","Director of Curriculum and Educational Initiatives, University of Michigan Medical School, Ann Arbor",209,6,5,4.5,1,4.0,Biology,CMU
"Harrison, James","Professor of Chemistry, Michigan State University",4605,35,103,3.9,18,3.3,English,Harvard
"Hines, Mary",University of North Carolina at Chapel Hill,319,8,8,3.1,6,1.7,Biology,UTexas
"Workman, Samuel",University of Oklahoma,756,9,9,3.9,14,2.7,Government,UTexas
"White, Michael",UT Southwestern Medical Center,22309,70,165,4.3,5,3.6,Religion,UTexas
"Morgan, Jason","Professor of Earth Sciences, Royal Holloway",9854,52,98,5.0,5,4.0,History,CMU
"Bockstaller, Michael","Professor of Materials Science and Engineering, Carnegie Mellon University",5573,38,85,4.3,3,4.0,Engineering,CMU
"WU, Wayne","Neuroscience Institute and Center for the Neural Basis of Cognition, Carnegie Mellon University",668,14,15,1.5,1,2.0,Philosophy,CMU
"Brown, Drusilla","Associate Professor of Economics, Tufts University",17403,62,241,3.3,15,2.8,Economics,Tufts
"Jones, Richard",Johns Hopkins,44811,98,695,3.5,3,3.7,Chemistry,UTexas
"Atherton, Timothy",Associate Professor of Physics Tufts University,649,15,21,5.0,2,2.0,Physics,Tufts
"Littman, Michael",Brown University,38890,78,190, ,0, ,Engineering,Princeton
"Zhang, Hui","Carnegie Mellon University, Conviva",33636,82,170,4.5,3,3.3,Computer Science,CMU
"Benedikt, Michael","Professor of Computer Science, Oxford University",5017,36,96,2.5,5,2.8,Architecture,UTexas
"Rock, Steve",University of Colorado,2458,13,13,2.3,3,3.0,Engineering,Stanford
"Seltman, Howard","Statistics, Carnegie Mellon University",4658,34,54,4.7,6,3.8,Mathematics,CMU
"Gerstlauer, Andreas","Associate Professor of Electrical and Computer Engineering, The University of Texas at Austin",4368,32,84,4.0,3,2.7,Engineering,UTexas
"Oberlack, Uwe",Johannes Gutenberg University Mainz,12760,44,91,3.6,4,2.5,Science,Rice
"Dahl, Kris",Carnegie Mellon University,3854,28,45,4.1,6,2.3,Engineering,CMU
"Kirk, David","Professor of Education, University of Strathclyde",15295,64,166,3.0,2,4.0,Music,Rice
"Hayward, Mathew","Department of Management, Monash University",5871,13,16, ,0, ,Business,UTexas
"Bejan, Camelia",University of Washington,136,6,3,2.5,2,3.0,Economics,Rice
"Matson, Douglas",Tufts University,704,14,24,4.4,12,2.9,Mechanical Engineering,Tufts
"Markert, John","Professor of Physics, The University of Texas at Austin",6873,39,80,4.8,3,3.7,Physics,UTexas
"Abedian, Behrouz","Mechanical Engineering, Tufts University",788,14,17,4.1,12,3.3,Mechanical Engineering,Tufts
"Helgason, Sigurdur",Professor of Mathematics MIT,22156,37,65,3.7,3,2.3,Mathematics,MIT
"Poenie, Martin",University of Texas at Austin,37685,32,41,3.0,1,3.0,Biology,UTexas
"Chapman, Walter",Rice University,12567,51,156, ,0, ,Engineering,Rice
"Williams, Rob","Pew Fellow in Marine Conservation, co-founder Oceans Initiative",4116,35,54,5.0,2,2.0,Economics,UTexas
"Chakrabarti, Abhirup",Queen's University,740,6,6,4.5,1,4.0,Management,Duke
"Thompson, James","Professor of Special Education, University of Kansas",5487,32,77,1.0,1,3.0,Mathematics,Rice
"Chiu, Charles","Professor of Laboratory Medicine and Medicine / Infectious Diseases, University of California, San",8014,45,90,4.0,5,4.0,Science,UTexas
"Mercer, John","Professor, inStem",4700,28,39,2.5,10,2.6,Biology,Duke
"Kehrig, Matthias",Duke University,448,7,7,3.5,1,2.0,Economics,UTexas
"Inan, Umran","Professor of Electrical Engineering, Stanford University",21198,77,348,3.5,2,1.5,Engineering,Stanford
"Vilaros, Teresa",Texas A&M,790,8,6,2.5,2,4.5,Spanish,Duke
"Cook, William",University of Waterloo,11846,36,64,5.0,1,3.0,Computer Science,UTexas
"Wolf, Patrick","Associate Professor of Biomedical Engineering, Duke University",9324,54,134,1.2,2,1.0,Engineering,Duke
"Ivy, John",Professional Staff at Texas A&M University,1227,11,12,5.0,1,5.0,Health Science,UTexas
"Baker, Mary",HP Inc.,14006,42,67,3.4,4,1.5,Languages,UTexas
"Crowder, Larry","Ed Ricketts Professor of Marine Ecology and Conservation, Stanford University",31228,90,217,3.6,4,3.2,Science,Duke
"Jackson, Aaron","Associate Professor of Counseling Psychology, Brigham Young University",1209,16,20,5.0,1,4.0,Mathematics,Duke
"Glenn, Melissa","Associate Professor of Psychology, Colby College",1471,15,19,4.2,2,2.0,Psychology,Duke
"Tyler, Leonard",University of Texas at Tyler,239,8,7, ,0, ,Engineering,Stanford
"Frymer, Paul","Professor of Politics, Princeton University",1525,17,21,5.0,1,5.0,Political Science,Princeton
"Morris, Gary","Dean of Natural Sciences, St. Edward's University",2808,28,47,4.6,7,3.7,Physics,Rice
"Bobrowski, Omer","Assistant Professor, Electrical Engineering, Technion - Israel Institute of Technology",485,11,13,4.8,4,3.5,Mathematics,Duke
"Gordon, Vernita","Associate Professor of Physics, University of Texas at Austin",2796,27,39,1.2,2,1.5,Physics,UTexas
"Neal, William","Emeritus Professor of Geology, Grand Valley State University",1642,22,44, ,0, ,Engineering,UTexas
"Jang, Woncheol","Associate Professor of Statistics, Seoul National University",344,10,13,3.2,2,3.5,Mathematics,Duke
"Souvaine, Diane","Professor of Computer Science & Vice Provost for Research, Tufts University",1910,25,44,4.2,9,1.7,Computer Science,Tufts
"McDougall, Graham","Behavioral Scientist, Gerontologist, & Nurse Practitioner",1971,26,55,3.5,1,5.0,Nursing,UTexas
"Abramson, Daniel",Boston University,217,7,6,4.5,9,3.3,Architecture,Tufts
"Little, Deborah","Associate Professor of Sociology, Adelphi University",280,5,3,5.0,1,5.0,Education,UTexas
"Martinek, Jason",New Jersey City University,21,2,1,5.0,1,3.0,History,CMU
"Youngs, Bonnie",Carnegie Mellon University,593,9,9,4.7,3,3.3,Languages,CMU
"Richman, Laura S.",Duke University,10256,25,37,4.3,6,3.8,Psychology,Duke
"Morse, Christopher",Manchester Metropolitan University,3539,31,46,3.4,74,1.7,Chemistry,Tufts
"Taguchi, Naoko",Northern Arizona University,3623,33,60,2.0,1,3.0,Languages,CMU
"Moreno Rocha, Monica",Centro de Investigación en Matemáticas (CIMAT),189,9,9,4.1,5,2.8,Mathematics,Tufts
"Krylova, Anna","History Department and GSF Studies, Duke University",651,11,12,3.2,8,3.2,History,Duke
"Liang, Pierre Jinghong","Professor of Accounting, Carnegie Mellon University",1163,17,21,3.5,1,2.0,Business,CMU
"Long, Christopher","Assistant Professor, Health Services Research, University of Arkansas for Medical Sciences",1123,13,18,4.8,3,3.0,Architecture,UTexas
"Brown, Margaret","Emeritus Professor of Mathematics Education, King's College London",4570,28,62,4.8,4,3.8,Anthropology,Duke
"Brown, Norman",University of Alberta,3462,31,55,2.0,3,2.3,History,UTexas
"Stine, Deborah","President, Science, Technology, and Innovation Policy Analysis & Education, LLC",379,8,7,1.0,1,2.0,Political Science,CMU
"Willis, Richard","Anne Marie & Thomas B. Walker, Jr. Professor of Accounting, Vanderbilt University",3271,14,15,4.5,4,4.5,Health Science,UTexas
"Stuart, David","Oxford University, Diamond Light Source, Insruct-ERIC",49968,109,377,4.9,5,2.6,Art History,UTexas
"Coronado, Raul",Profesor-Investigador,332,9,9,2.1,4,2.0,English,UChicago
"Berg, Gary",author/researcher,967,16,18,1.9,23,2.7,Mathematics,UTexas
"Kline, Kimberly",Nanyang Technological University,2626,29,40,2.5,5,2.4,Nutrition,UTexas
"Pelphrey, Kevin","Harrison-Wood Jefferson Scholars Foundation Professor, University of Virginia",16716,62,123,4.5,1,4.0,Psychology,Duke
"Holm, Jakob",Aarhus University,18,2,1,5.0,1,4.0,Languages,UTexas
"Carley, Kathleen","Professor, Carnegie Mellon University",36330,89,350, ,0, ,Computer Science,CMU
"Williams, Matthew","Professor of Criminology, Cardiff University",3738,30,47,1.5,1,2.0,Sociology,Tufts
"Napier, Susan","Associate Professor, Georgia Institute of Technology",2585,22,27,3.3,8,3.6,Ethnic Studies,Tufts
"blum, Avrim","Professor and Chief Academic Officer, Toyota Technological Institute at Chicago",31368,72,154,4.3,3,2.3,Computer Science,CMU
"Villena, Francisco","PROFESOR TITULAR, UNIVERSIDAD COMPLUTENSE",826,13,18,5.0,2,3.5,Languages,Princeton
"Ozev, Sule",Arizona State University,2340,26,67,2.3,6,1.7,Engineering,Duke
"Sparrow, Bartholomew",University of Texas,1273,11,11,3.2,10,2.8,Political Science,UTexas
"Rye, Danny","Professor of Geology and Geophysics, Yale University",3478,35,55, ,0, ,Geology,Yale
"Bishop, Robert",The University of South Florida,11296,31,69, ,0, ,Engineering,UTexas
"Vieira, Carlos",Professor da Universidade Estadual do Norte Fluminense,1103,14,33,3.5,1,1.0,Engineering,Princeton
"Armstrong, Elizabeth",Professor of Sociology and Organizational Studies,5140,17,19, ,0, ,Sociology,Princeton
"Kwallek, Nancy","Professor, The University of Texas at Austin",740,8,8, ,0, ,Design,UTexas
"Barhoum, Khalil","Professor of computer science, Isra university",23,2,1,5.0,3,2.7,Languages,Stanford
"Kruse, Kevin",Professor of History,1947,10,10,5.0,1,3.0,History,Princeton
"Jurafsky, Dan","Professor of Linguistics and Computer Science, Stanford University",42372,86,220,4.5,2,2.5,Languages,Stanford
"Lane, David",A*STAR,100528,141,467,3.5,7,3.3,Psychology,Rice
"Wilson, ",Children's Hospital at Westmead,6456,40,72,3.2,2,5.0,Economics,UChicago
"Marchesi, Simone",Universitat de Barcelona,73,4,2,5.0,4,2.2,Literature,Princeton
"Wang, Paul",Simons Foundation,6445,39,48, ,0, ,Engineering,Duke
"Scribner, Charity",City University of New York,36,3,2,4.8,3,1.7,Humanities,MIT
"Washburn, Newell","Associate Professor, Carnegie Mellon University",5018,33,62,4.4,4,3.2,Chemistry,CMU
"Buel, Sarah",ASU College of Law - ret.,739,14,16,1.9,6,3.0,Law,UTexas
"Osa-Melero, Lucia",Duquesne University,18,3,0,4.0,1,4.0,Spanish & Portuguese,UTexas
"Sinha, Pawan","Professor of Visual Neuroscience, MIT",11470,49,109,4.5,3,4.7,Psychology,MIT
"Linder, Randal",University of Texas at Austin,6306,39,51,4.0,1,2.0,Biology,UTexas
"Auroux, Denis","Professor of Mathematics, Harvard University",2052,23,31,4.8,32,3.3,Mathematics,MIT
"Hammer, David",Tufts University,11278,48,67,3.6,5,2.0,Physics,Tufts
"Storeygard, Adam","Associate Professor of Economics, Tufts University",7686,17,18,2.5,3,2.7,Economics,Tufts
"Zeng, Hong","Professor, School of Electrical and Information Engineering，HNUT",2207,24,28,3.9,14,1.9,Languages,Stanford
"Mok, Aloysius","Professor of Computer Science, University of Texas at Austin",13965,49,147,2.8,2,3.0,Computer Science,UTexas
"Moaveni, Babak",Tufts University,1978,26,38,5.0,1,2.0,Civil Engineering,Tufts
"Wilson, Ara",Duke University,1063,15,18,4.2,5,2.6,Women's Studies,Duke
"Watson, Rachel",University of Manchester,3330,33,58, ,0, ,English,UChicago
"Chen, Tsuhan",National University of Singapore,18829,67,293,5.0,1,2.0,Engineering,CMU
"Holman, Richard",Carnegie Mellon University,6803,43,112,3.2,3,1.3,Physics,CMU
"Bernstein, Sara","Associate Professor of Philosophy, University of Notre Dame",225,9,7,4.5,3,2.7,Philosophy,Duke
"Jones, Derek","Director,  CUBRIC, School of Psychology, Cardiff University",44416,89,397,2.5,1,1.0,Fine Arts,Duke
"Willets, Katherine","Associate Professor of Chemistry, Temple University",8040,31,61,4.0,1,1.0,Chemistry,UTexas
"McCann, Robert",University of Toronto,6000,31,54,4.0,2,5.0,Engineering,UTexas
"Weinstein, Jeremy","Associate Professor of Political Science, Stanford University",9064,32,48,5.0,3,1.0,Political Science,Stanford
"Purdie-Vaughns, Valerie","Assistant Professor of Psychology, Columbia University",8005,28,37,3.5,3,4.0,Psychology,Yale
"Perrig, Adrian","Professor of Computer Science at ETH Zürich, Adjunct Professor of ECE at CMU, Cylab Fellow",63695,95,224,4.8,3,2.7,Computer Science,CMU
"Morgan, Kari (lock)","Assistant Professor, Statistics, Penn State University",795,10,10,4.3,10,3.1,Statistics,Duke
"Upson-Saia, Kristi",Occidental College,11,2,0,4.5,4,2.2,Religion,Duke
"Kelber, ","Lund Vision Group, Lund University",5970,45,94,5.0,2,3.0,Religion,Rice
"Zhong, Pei","Anderson-Rupp Professor of Mechanical Engineering and Materials Science, Duke University",5736,45,95, ,0, ,Engineering,Duke
"Norin, Sergey","Associate Professor, McGill University",1677,19,40,3.2,3,2.3,Mathematics,Princeton
"Ozer, Ozalp",The University of Texas at Dallas,4382,28,38,5.0,1,3.0,Management,Stanford
"Blankenship, Kim","American University, Department of Sociology",3380,29,43, ,0, ,Sociology,Duke
"Gregg, ",Johns Hopkins University,146347,176,392,3.8,2,4.5,Political Science,UTexas
"Chen, Guangliang",San Jose State University,904,13,14,2.1,8,1.8,Mathematics,Duke
"Boyarchenko, Svetlana","Associate Professor in Economics, University of Texas at Austin",1985,18,28,5.0,2,4.5,Economics,UTexas
"Walsh, John","Research Professor, International Arctic Research Center",22521,79,185,5.0,3,4.3,Physical Ed,Tufts
"Brandon, Robert","Professor of Philosophy, Duke University",5054,30,37,4.0,3,3.7,Philosophy,Duke
"Read, Andrew","Evan Pugh University Professor of Biology and Entomology, Penn State",22656,82,247,4.0,1,4.0,Science,Duke
"Cohen, Ted","Department of Epidemiology of Infectious Diseases, Yale School of Public Health",8814,45,130,3.6,18,3.3,Philosophy,UChicago
"Bennett, Gary",University California San Diego,31152,89,188,4.6,8,4.1,Psychology,Duke
"Kelly, Tom",UCL,199,5,3,4.4,8,2.9,Philosophy,Princeton
"Doucette, Wendy",Graduate Research and Instruction Librarian and Assistant Professor,1,1,0,5.0,1,4.0,Not Specified,Harvard
"Shenoy, Krishna",Stanford & HHMI,15351,62,150,5.0,1,3.0,Engineering,Stanford
"Fleischer, Jason",Princeton University,7619,36,73,5.0,2,2.0,Engineering,Princeton
"Trick, Michael","Dean, Carnegie Mellon University in Qatar",5866,31,53,3.7,3,2.7,Business,CMU
"Carlson, John","Associate Professor of Information Systems, Baylor University",2393,16,17,5.0,1,4.0,Biology,Yale
"Hassan, Ehab","Institute of Fusion Studies, University of Texas at Austin",22,3,0, ,0, ,Science,UTexas
"Hafalir, Elif-Incekara",University of Technology Sydney,48,4,2,3.0,1,3.0,Economics,CMU
"Storchmann, Karl","Clinical Professor, Economics Department, New York University",2316,20,25,3.5,13,2.7,Economics,Yale
"Phillips, Beth",Florida State University,4980,34,50,3.8,3,3.3,Nursing,Duke
"Frederick, Matthew",所属不明,1044,12,12,3.6,9,2.6,Music,Harvard
"Ramirez Berg, Charles","Professor of Cinema Studies, University of Texas at Austin",1749,14,21,4.9,25,4.0,Film,UTexas
"Hall, Crystal","Associate Professor of Public Policy and Governance, University of Washington",1941,7,7,5.0,3,2.7,Mathematics,Harvard
"Portsmore, Merredith","Director, Tufts Center for Engineering Education and Outreach",1760,14,16,5.0,2,4.0,Engineering,Tufts
"Barnaby, Edward",Senior Assistant Dean for Graduate Programs; Associate Professor of English; University of Virginia,40,4,1,2.5,1,3.0,English,Yale
"Ilic, Marija","Professor of Electrical & Computer Engineering, and Engineering & Public Policy, Carnegie Mellon",14692,62,238, ,0, ,Engineering,CMU
"Ozman, Ekin",Bogazici University,155,7,4,3.3,3,2.7,Mathematics,UTexas
"Fukami, Tadashi","Associate Professor of Biology, Stanford University",9603,43,73,1.5,1,2.0,Biology,Stanford
"Forbes, Jeffrey","Professor, Aerospace Engineering Sciences, University of Colorado",18020,69,248,2.2,31,2.4,Computer Science,Duke
"De Armas, Frederik",University of Chicago,1441,17,41,4.5,3,3.7,Languages,UChicago
"Archer, David","Professor of Geophysical Sciences, University of Chicago",15476,64,101,4.1,12,2.7,Science,UChicago
"Yuan, Fan","Department of Biomedical Engineering, Duke University, Durham, NC 27708",17675,53,99,2.5,8,2.6,Engineering,Duke
"Joseph, Paul","University of California, Berkeley",1532,8,7,3.1,19,3.4,Social Science,Tufts
"Botstein, David",Princeton University,240051,182,454,3.5,1,3.0,Biology,Princeton
"Halvorson, Hans","Stuart Professor, Princeton University",2160,23,36,4.2,4,2.5,Philosophy,Princeton
"Woolley, Anita",Carnegie Mellon University,4393,28,39, ,0, ,Business,CMU
"Miller, David",所属不明,105321,167,808,5.0,1,2.0,Religion,Princeton
"Cook, David","Professor of Medicine and Medical Education, Mayo Clinic College of Medicine and Science",20660,73,154, ,0, ,Religion,Rice
"Shayegan, Mansour","Professor of Electrical Engineering, Princeton University",17163,65,262, ,0, ,Engineering,Princeton
"McCann, John",McCann Imaging,7477,30,68,4.2,15,4.7,Music,Tufts
"Smith, Jeremy",University of Tennessee/ORNL,41456,70,352,1.0,1,3.0,Management,CMU
"MacWhinney, Brian","Professor of Psychology, CMU",45936,86,260,5.0,1,3.0,Psychology,CMU
"Patterson, Peggy","Professor, University of Calgary",107,5,3,2.8,4,4.8,Languages,Rice
"Thorne, Susan",Duke University,705,7,6,4.0,13,3.6,History,Duke
"Clark, Eve","Linguistics, Stanford University",28866,67,112, ,0, ,Social Science,Stanford
"Doolittle, William",Georgia Institute of Technology,2347,29,73,4.9,6,2.7,Geography,UTexas
"XU, Hangjun","Assistant Professor of Marketing, Union University",78,5,4,4.1,5,2.0,Mathematics,Duke
"Krosnik, Jon",Stanford University,43387,94,201,2.5,1,3.0,Communication,Stanford
"Hassoun, Soha","Professor & Past Chair.  Department of Computer Science, Tufts University",2453,22,35,3.2,10,2.3,Computer Science,Tufts
"Kublik, Richard",Applied Mathematician and Data Scientist,70,3,2, ,0, ,Engineering,UTexas
"Ross, Steve",UNC-W,2895,31,71,3.4,7,3.6,Architecture,UTexas
"Lowood, Henry",Stanford University,1632,20,31, ,0, ,Science,Stanford
"Cushmen, John",University of Nevada,13391,66,132,4.8,2,5.0,Political Science,Duke
"Oberman, Adam","Professor, Department of Mathematics and Statistics, McGill University",2158,25,33, ,0, ,Mathematics,UTexas
"McMillan, Margaret",Tufts University IFPRI International Food Policy Research Institute,6265,28,47,3.3,7,3.6,Economics,Tufts
"Baraniuk, Richard","Victor E. Cameron Professor, Electrical & Computer Engineering, Rice University",59512,108,389,2.5,4,1.2,Engineering,Rice
"Shapiro, Liza","Professor of Anthropology, University of Texas at Austin",1537,22,27,3.3,3,2.7,Anthropology,UTexas
"Gregory, Eric",Bergische Universität Wuppertal,3240,20,27,4.6,7,3.7,Religion,Princeton
"Hollowell, Adam","Senior Research Associate, Samuel DuBois Cook Center on Social Equity, Duke University",25,3,1,4.9,19,3.0,Public Policy,Duke
"Chauvin, Sebastien",University of Lausanne,2561,20,29,4.0,1,3.0,Anthropology,UChicago
"Wang, Mingquan",Chinese Academy of Sciences,150,7,6,5.0,15,3.7,Chinese,Tufts
"Dey, Abhishek","Professor, Indian Association for the Cultivation of Science",4401,40,88,4.5,1,2.0,Chemistry,Stanford
